crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1914452,56000,56000,0,0,리즈리스,벨벳 스트링 피케셔츠 [블루],,4.7,3,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4875219,169000,169000,0,0,레노마골프,25SS 남성 냉감 카라 티셔츠 RMTYO1105-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4157706,199000,199000,0,0,레노마골프,[역시즌]남성 립소재 카라 반팔 티셔츠 RMTYN2106-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3224360,239000,239000,0,0,레노마골프,남성 프로테크 래글런 카라 반팔 티셔츠 RMTYM2151-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4969072,87200,109000,21800,20,썬러브,Striped Caddie Polo Pink,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4248321,45000,45000,0,0,올클래식,KT016 부클 오픈 카라 니트_ivory,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4923687,47400,79000,31600,40,디써티원,Stripe Rugby Polo T-Shirt (Green),,5.0,9,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4900000,35000,178000,143000,80,피에이티,미니 패턴 프린트 티셔츠_1I35102,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4693111,89000,89000,0,0,데상트,터프 폴로 반팔 티셔츠 다크그린(SQ123UPS21),,5.0,1,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3950392,84500,169000,84500,50,헨리코튼,소프트 립 카라티_AHTAM24411KHX,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4861296,145600,208000,62400,30,프레드페리,[Sharp] 크레이프 피케 집 넥 셔츠 - 에크루 AFPM2519886-560,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2586480,298000,298000,0,0,이노스 골프,크로스 롱 슬리브 베이지,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5080600,279000,279000,0,0,말본 골프,베케이션 클럽 피케 폴로 티셔츠 CREAM (MAN),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2245351,22890,29900,7010,23,무신사 스탠다드,슬릿 넥 피케 폴로 셔츠 [다크 브라운],,4.8,238,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2518078,49000,49000,0,0,프로월드컵,[PWX]Q522-3304-1NV 남성 냉감 카라티셔츠,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5086049,239000,239000,0,0,말본 골프,버킷 폴로 피케 티셔츠 LIME (MAN),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2576265,288000,288000,0,0,이노스 골프,브랜드 로고 폴로 화이트,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4484350,98100,109000,10900,10,커스텀어스,라그랑소매배색 기모 카라 티셔츠 CXS24WKKTA07 GRY,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4350975,179000,179000,0,0,헤지스,[아이코닉] 네이비 긴팔 피케 카라 티셔츠,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5075362,111300,159000,47700,30,페라로 밀라노,우븐 크링클 Y카라티 블랙 (AM0FTTY25139),,4.0,1,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4994978,69300,99000,29700,30,브렌우드,[에센셜스] 차가운 폴로넥 티셔츠 BRTAM25411BUX,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2468974,33150,51000,17850,35,그레이버,[UNISEX]베어 자수 피케 반팔티셔츠_블랙,,4.8,44,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4430582,87000,145000,58000,40,빠니깔레,아이보리 소프트 P로고 폴로 티셔츠,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4674029,319000,319000,0,0,어뉴골프,MEN SM AIR DOT SHORT T-SHIRT_RE,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4749089,37300,240000,202700,84,인디안,육각그래픽 패턴 티셔츠_MIGALYS1231,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4050057,49000,113000,64000,57,루이까스텔,[110사이즈 즉시출고]남성 YOKO 1단 로고 프린트 티셔츠,,5.0,2,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4928513,259000,259000,0,0,말본 골프,버킷 반팔 모크넥 BLUE (MAN),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1474559,59000,59000,0,0,펠스파브룩,트루핏 하프 폴로셔츠[BANANA CREAM],,4.0,2,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3928088,77000,179000,102000,57,빈폴 멘,원버튼 스트라이프 칼라넥 티셔츠  그린,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4873520,104300,149000,44700,30,타미힐피거,1985 레귤러 폴로셔츠 (T12F1TKT060MT2C00),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3878559,138000,138000,0,0,프레드페리,[M6000] 플레인 프레드페리 셔츠(U85) AFPM2416000-U85,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3915149,59000,142000,83000,58,루이까스텔,남성 아이루카 자수 솔리드 요꼬에리 티셔츠,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5046581,299000,299000,0,0,어뉴골프,MEN SM BLOCK POINT SHORT T-SHIRT_LE,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4836702,189000,189000,0,0,레노마골프,25SS 남성 로고 프린트 카라 티셔츠 RMTYO1181-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4001984,219000,219000,0,0,레노마골프,[역시즌]남성 스트라이프 배색 요꼬 카라 반팔 티셔츠 RMTPN2105-199,,5.0,1,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3224342,219000,219000,0,0,레노마골프,남성 빗살 패턴 자가드 카라 반팔 티셔츠 RMTPM2112-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4985491,49900,49900,0,0,에스티코,Supima 코튼 카라티_베이지 (세미오버핏),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4933912,230300,230300,0,0,예작,비스코스 혼방 블루 컬러 솔리드 카라 티셔츠 YJ4MTS450BR,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4769662,178000,178000,0,0,베르노,25SS Cashtouch Long Sleeve Polo Knit Dark-Navy,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3998736,42000,56000,14000,25,아웃스탠딩,HS KNIT COLLAR SHIRT_IVORY,,4.9,133,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4902408,379000,379000,0,0,말본 골프,백 버킷 기능성 반팔 니트 GREEN (MAN),,5.0,2,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5161873,207200,207200,0,0,예작,DK코튼 캐주얼 티셔츠 그레이 YJEMTS453GY,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4917100,170100,189000,18900,10,와이드앵글,CO 냉감 스웨터 배색 폴로 티셔츠 M_White,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4982625,198000,198000,0,0,챌린저,남성 배색 포인트 냉감소매 카라 긴팔 썬가드 티셔츠 화이트,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5005116,32300,179000,146700,82,인디안,타소재 그래픽패턴 티셔츠_MITASYM4106,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3106562,219000,219000,0,0,레노마골프,남성 라인 포인트 카라 니트 RMSPL2202-101,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4806619,138000,138000,0,0,프레드페리,[M3600] 트윈 팁 프레드페리 셔츠  - 에크루/테니스 블루 AFPM2513600-Y24,,5.0,1,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2444165,248000,248000,0,0,이노스 골프,팀 폴로 (블랙),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4098030,69000,142000,73000,51,루이까스텔,남성 기본 청해지 시다마이 티셔츠,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2444164,258000,258000,0,0,이노스 골프,스턴 폴로 (화이트),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4397739,89100,99000,9900,10,커스텀어스,셔츠 레이어드 카라 티셔츠 CXS24FKMT812 MGY,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4098067,49000,113000,64000,57,루이까스텔,남성 C/P PK YOKO 몸판 매칭 티셔츠,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4940672,101800,179000,77200,43,빈폴골프,남성 컬러 배색 반팔 칼라 티셔츠  화이트,,,,TOP,1003,M,success
