crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5070837,32250,43000,10750,25,주앙옴므,리파인드 리브드 슬리브리스 (차콜),,5.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5147115,23800,34000,10200,30,드릭스,바스켓볼 메시 저지 사이드 패널 슬리브리스_그레이,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5066809,29000,38000,9000,24,원나우,NOW fit Sleeveless_KHAKI,,5.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5032936,17400,17400,0,0,브렌슨,라운드넥 레이어드 슬리브리스 ( 3Color ),,4.9,31,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3254008,19900,50000,30100,60,커스텀어클락,[2PACK]레이어드 슬리브리스 나시 티셔츠 COOSTS074,,4.7,278,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4240409,15900,33800,17900,53,아르메데스,[3PACK] 기능성 오버핏 민소매 나시 짐웨어 AR-124,,4.6,77,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5147112,23800,34000,10200,30,드릭스,바스켓볼 메시 저지 사이드 패널 슬리브리스_화이트,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4928970,24800,36000,11200,31,나인제트,스몰로고 골지 슬리브리스 (차콜) 25SL04,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4053258,49800,90000,40200,45,노이어,[2PACK] 스퀘어 넥 니트 슬리브리스 (5CO),,4.7,345,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4247733,23520,42000,18480,44,페르메논,스탠다드 무지 절개 나시 - 블랙,,4.7,20,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5086489,23460,34000,10540,31,바우로 프로덕트,[무료반품] 리브드 릴랙스드 슬리브리스 [크림],,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4993670,32500,65000,32500,50,지프,[2PACK] 아스킨 쿨 에어그램 민소매 티셔츠 (JR5TSU054BK),,5.0,27,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4810003,48000,92000,44000,48,제이엘브,심볼로고 풋볼 슬리브리스,,5.0,54,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4993573,19900,29900,10000,33,시그니처,리브드 슬리브리스 티셔츠[그레이],,5.0,7,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1852718,22900,43800,20900,48,피아네르,[2 PACK] 레이어드 트임 나시 (2color),,4.8,2천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5059799,18900,21000,2100,10,다이브인,UNIFORM SLEEVELESS LIGHT (BROWN),,5.0,34,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4936661,35200,44000,8800,20,에스파이,[우연 × ESFAI] VTG SLEEVELESS (CHARCOAL),,4.8,405,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4657550,31900,31900,0,0,러닝라이프,러닝 싱글렛 베이직,,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2606164,19800,32800,13000,40,플루크,서프 클럽 피그먼트 슬리브리스 화이트 FSL104,,4.8,775,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4655119,21900,21900,0,0,무신사 스탠다드,피그먼트 탱크 탑 [다크 그레이],,4.8,34,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4422427,35100,39000,3900,10,엘무드,LD 리브드 슬리브리스 ( 4 COLOR ),,5.0,249,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2034964,18800,35000,16200,46,패블러스아카이브,UNISEX 오버핏 싱글 MAISON프린팅 슬리브리스 탑 화이트(FCB2TS300M),,4.9,1천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4968505,34300,49000,14700,30,디스이즈네버댓,[무료반품] T-Logo Sleeveless Charcoal,,5.0,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4074761,28690,41000,12310,30,파브레가,오가닉 코튼 슬리브리스 (3COLOR),,4.8,701,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3285956,31900,48000,16100,34,제이엘브,스탠다드 무지 나시,,4.8,504,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3201548,19900,24900,5000,20,브렌슨,ACHROMATIC_ 레이어드 슬리브리스 ( 2Color ),,4.8,727,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3996962,9300,12400,3100,25,유니온스튜디오,루즈핏 레이어드 트임 실키 슬리브리스 ( 4Color ),,4.8,606,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4760739,33750,45000,11250,25,노이어,멀티 리브드 슬리브리스 티셔츠 (브라운),,5.0,12,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5086023,49000,49000,0,0,나이키,[무료반품] 민소매 티셔츠 M - 블랙 / HJ3688-010,,4.8,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5026197,24570,37900,13330,35,스켈리웩,더블 로고 스트라이프 슬리브리스[블랙],,4.8,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2658311,25900,37000,11100,30,게인스보로,[무료반품] 쿨모어 오션투어 슬리브리스_블랙,,4.9,112,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/348148,20880,29000,8120,28,드로우핏,쿨메쉬 레이어드 슬리브리스 [OFFWHITE],,4.8,2천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4208148,39000,39000,0,0,나이키,[무료반품] 드라이 핏 레전드 민소매 피트니스 티셔츠 M - 블랙:매트 실버 / DX0992-010,,4.8,270,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4998916,44850,69000,24150,35,위캔더스,OG BASKETBALL JERSEY (BLACK),,4.3,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4136007,24500,35000,10500,30,노티카,세일링 클럽 슬리브리스,,4.8,83,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4307090,34200,36000,1800,5,몰든,리브드 슬리브리스,,4.8,93,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3766629,41000,71900,30900,43,어프레쉬,2PACK_SET 무지 프레쉬핏 슬리브리스,,4.8,47,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5079637,19900,33900,14000,41,그랜디오시티,헤비 골지 머슬핏 슬리브리스 나시 (아이보리),,5.0,6,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5082879,29200,39000,9800,25,혼다 모터사이클,Original Wing logo Mesh Sleeveless Camo Green,,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4884043,35000,35000,0,0,미즈노,SLEEVELESS_32YA5B34,,4.8,20,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5041670,9800,21900,12100,55,이지바이,드라이핏 남성 쿨에버원단 메쉬 나시(AF01ST074M) 4 Colors,,4.9,9,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1466673,29900,60000,30100,50,게인스보로,[무료반품] [2PACK] 오버핏 쿨 마이크로아이스 슬리브리스 6COLOR,,4.8,4천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4928914,26800,34000,7200,21,나인제트,스몰로고 코튼 슬리브리스 (화이트) 25SL01,,4.9,11,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5114497,19900,24900,5000,20,브렌슨,루즈핏 마린 스트라이프 슬리브리스 ( 3Color ),,5.0,13,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2225649,27200,34000,6800,20,에이치덱스,아치 로고 나시,,4.9,2천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4853061,28000,49000,21000,43,아이필블루씨에스엠,Symbol Logo Tank Top [2Color],,1.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4602668,29400,52500,23100,44,카미드,카미드 슬리브리스,,4.9,263,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5099304,62100,69000,6900,10,브라운브레스,W TAG SOLID BODYSUIT - BLACK,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4929080,29700,45700,16000,35,피지컬가먼츠,P2533 라이트싱글 데일리 나시 [4COLOR],,5.0,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2976551,29890,33800,3910,12,무신사 스탠다드,[쿨탠다드] 릴렉스드 슬리브리스 탑 2팩,,4.9,6천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4077338,28020,29500,1480,5,토마스모어,아미 탱크탑 [2 PACK],,4.8,56,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4928251,28800,49000,20200,41,나인제트,GT 와이드 오버핏 풋볼 저지 슬리브리스 (블랙) 25SL02,,5.0,9,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5139646,62100,69000,6900,10,엔비에이,[홀리뱅 착용] HWC LAL 사틴 농구저지 슬리브리스(N252TS855P) 화이트,,5.0,5,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5049528,19600,28000,8400,30,아스트로브,베놈컷 머슬나시 화이트,,4.9,14,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2445153,43200,54000,10800,20,51퍼센트,Irregular Logo embroidery Logo Sleeveless - BLACK,,4.9,2천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4863129,55200,69000,13800,20,유희,OFF-SHOULDER GRAPHIC JERSEY TOP BLACK,,5.0,6,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5147117,23800,34000,10200,30,드릭스,바스켓볼 메시 저지 사이드 패널 슬리브리스_블랙,,,,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4870113,58000,108000,50000,46,제이엘브,[2PACK] 심볼자수 골지 나시,,4.9,97,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3275327,26910,29900,2990,10,무신사 스탠다드 스포츠,[쿨탠스] 러닝 메쉬 싱글렛 (4color),,4.7,131,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3503122,19800,22000,2200,10,에어릿,에어로쿨 오버사이즈 슬리브리스 AM6006 WH,,4.7,89,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3288166,57000,88000,31000,35,머슬암드,ARMED 23 저지 탱크탑 [블랙],,4.9,310,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3075253,24390,37800,13410,35,무신사 스탠다드,[쿨탠다드] 레이어드 슬리브리스 탑_일반기장 2팩,,4.9,1천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4170423,14900,31500,16600,53,언더오프,오버핏 크루넥 슬리브리스 빈티지썸머 민소매 티셔츠 블랙,,4.8,23,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4897633,28000,35000,7000,20,노티카,세일링 요트 클럽 슬리브리스,,4.9,29,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4859448,30750,41000,10250,25,트립르센스,[유튜버 PICK] 로고 플레이트 베이직 슬리브리스_크림 아이보리,,4.7,19,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4356204,10900,21600,10700,50,아르메데스,[2PACK] 망고 나시 AR-111,,4.8,156,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5070953,46000,49000,3000,6,본투윈,TRIBAL COMFORT FIT SLEEVLESS [BLACK],,5.0,2,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5103764,39200,49000,9800,20,볼란테,VOLANTE X wHATTHE OG Sleeveless [Black],,5.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4053260,45500,76000,30500,40,노이어,[2PACK] 코튼 레귤러 슬리브리스,,4.9,116,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/812009,26250,35000,8750,25,드리프트아웃,DB-038 트로피컬 베어,,4.8,522,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5015064,21000,28000,7000,25,아웃스탠딩,RIBBED SLEEVELESS_OFF WHITE,,4.9,21,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4993571,14900,29900,15000,50,시그니처,리브드 슬리브리스 티셔츠[화이트],,4.8,9,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4771295,29660,43000,13340,31,페르메논,머슬핏 심볼 로고 슬리브리스 - 블랙,,4.7,3,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1466055,25110,27900,2790,10,무신사 스탠다드 스포츠,[쿨탠스] 벤틸레이션 슬리브리스 (4color),,4.9,3천+,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3794831,44000,49000,5000,10,본투윈,B-SYMBOL LOGO SLEEVELESS_NON MESH VER [MELANGE GREY],,4.9,165,TOP,1011,M,success
