crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",2479983,https://www.musinsa.com/products/2479983,48300,69000,20700,30,어반드레스,BUCKLE WIDE DENIM PANTS STONE LIGHTBLUE,3.7만,4.7,2천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3856803,https://www.musinsa.com/products/3856803,24210,53800,29590,55,언탭트 스튜디오,바이오 워싱 와이드 청바지 데님 팬츠 6 COLOR,1.1만,4.8,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3793215,https://www.musinsa.com/products/3793215,29890,49900,20010,40,무신사 스탠다드,라이트웨이트 원 턱 레귤러 핏 데님 팬츠 [라이트 인디고],1.8천,4.8,212,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2503135,https://www.musinsa.com/products/2503135,29800,49800,20000,40,굿라이프웍스,린넨 라이크 이지 와이드 데님 팬츠 블랙,3.4만,4.8,4천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3076308,https://www.musinsa.com/products/3076308,69000,88000,19000,22,밀로 아카이브,리플렉트 커브드 팬츠 [오프 화이트],6.8천,4.9,491,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4699443,https://www.musinsa.com/products/4699443,28620,54000,25380,47,토피,[논페이드] 오리진 로우 데님 진 (RAW INDIGO),1.5천,4.7,52,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3159798,https://www.musinsa.com/products/3159798,58500,78000,19500,25,에러스익셉티드,LDP128DB 플리츠 린넨 데님팬츠 (One wash),4.0천,4.8,701,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5061477,https://www.musinsa.com/products/5061477,60800,76000,15200,20,인템포무드,스티치 라인 벌룬핏 팬츠_인디고,588,4.9,13,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4658037,https://www.musinsa.com/products/4658037,19900,54000,34100,63,스탠다드에러,87-STAN165 빈티지 캣워싱 와이드 데님팬츠 빈티지옐로우,5.2천,4.8,361,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2073572,https://www.musinsa.com/products/2073572,38250,45000,6750,15,제로,Clean Deep One Tuck Denim Pants [Brown],8.9천,4.9,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3859234,https://www.musinsa.com/products/3859234,34300,98000,63700,65,커스텀어클락,[SET] 밴딩 와이드 팬츠 4 TYPE,3.0천,4.8,86,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2447777,https://www.musinsa.com/products/2447777,25790,53900,28110,52,무신사 스탠다드,[그린] 리사이클 레귤러 핏 데님 팬츠 [라이트 인디고],3.1천,4.8,512,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3840549,https://www.musinsa.com/products/3840549,41000,82000,41000,50,베이스모먼트,논페이드 커브드 데님 팬츠 브라운,3.6천,4.9,87,BOTTOM,3002,M,success
