crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",4096980,https://www.musinsa.com/products/4096980,25990,69000,43010,62,토피,피셔맨 집업 카라 하프 니트 (BLACK),259,4.9,12,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4927169,https://www.musinsa.com/products/4927169,43300,59800,16500,28,지오다노,케이블 반팔 니트(12GG) 055522 [8color],460,4.9,26,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4939646,https://www.musinsa.com/products/4939646,29890,49860,19970,40,언탭트 스튜디오,워셔블 쿨 코튼 케이블 반팔 라운드 버튼 니트 3Color,1.0천,4.8,57,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3107468,https://www.musinsa.com/products/3107468,25900,74000,48100,65,오아이오아이 컬렉션,레이어드 로고 하프 케이블 니트_다크 네이비,1.1천,4.6,13,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4843372,https://www.musinsa.com/products/4843372,17800,39000,21200,54,리메인세컨드,오버핏 워셔블 카라넥 케이블 반팔 니트 [네이비],1.2천,4.9,68,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5107472,https://www.musinsa.com/products/5107472,35200,47000,11800,25,인템포무드,하프 위트 버튼 스트라이프 니트_블랙,685,4.9,23,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",1943088,https://www.musinsa.com/products/1943088,18900,54000,35100,65,어반드레스,이안 버튼 카라 반팔 니트 - 9COL,1.5만,4.8,3천+,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5042397,https://www.musinsa.com/products/5042397,45500,65000,19500,30,알리스,[유튜버 PICK] 썸머 에센셜 헨리넥 하프 니트 [블랙],1.3천,4.6,13,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4023321,https://www.musinsa.com/products/4023321,47200,118000,70800,60,틸던,METAL FLASH KNIT HALF SLEEVE TEE navy,327,4.1,7,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4249174,https://www.musinsa.com/products/4249174,63200,79000,15800,20,브랜디드,HARD TWIST HOLIDAY POLO KNIT [DARK NAVY STRIPE],1.1천,4.9,101,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3996625,https://www.musinsa.com/products/3996625,35550,79000,43450,55,르뎁트,[무료반품] 프렌치 린넨 스카시 오픈 티에리 [크림],667,4.9,17,TOP,1006,M,success
