product_id,crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
4711280,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4711280,42900,55900,13000,23,벤힛,VH CREW 후드티,1.9천,4.8,(83),TOP,001004,M,success
3463299,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3463299,39000,79000,40000,51,예일,투톤아치 후드_블랙,2.1만,4.9,(2천+),TOP,001004,M,success
2705769,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2705769,34890,49900,15010,30,무신사 스탠다드,엑스트라 오버사이즈 후디드 스웨트셔츠 [네이비],460,4.9,(110),TOP,001004,M,success
2990438,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2990438,44000,78000,34000,44,1989스탠다드,1989 자수 후드 (STHSTD-0025),3.7만,4.8,(3천+),TOP,001004,M,success
4753388,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4753388,48950,89000,40050,45,바네사,820g VANESSA 빈티지 나염 후드티_차콜,768,4.7,(20),TOP,001004,M,success
3166392,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3166392,97300,139000,41700,30,폴로 랄프 로렌,로고 저지 후드 티셔츠 - 블랙,350,4.8,(4),TOP,001004,M,success
4844534,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4844534,80100,89000,8900,10,나이스고스트클럽,JUNJI ITO MANIAC TOMIE GLITTER HOODIE_BLACK(NG2FSUM407B),1.5천,5.0,(10),TOP,001004,M,success
2705825,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2705825,19090,47900,28810,60,무신사 스탠다드,플랫 테리 오버사이즈 후디드 스웨트셔츠 [졸리 그린],314,4.9,(62),TOP,001004,M,success
2847570,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2847570,17800,178000,160200,90,디폴트벨류,[2PACK STE] 기모 York County Hoodie 4Color,607,4.8,(26),TOP,001004,M,success
2990504,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2990504,32900,66500,33600,51,1989스탠다드,BASIC LOGO 후드 (STHSTD-0006),5.8천,4.8,(334),TOP,001004,M,success
3469214,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3469214,49900,78000,28100,36,어반드레스,Pigment Felt Overfit Hoody  - 3COL,1.1만,4.8,(587),TOP,001004,M,success
2990463,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2990463,36900,66500,29600,45,1989스탠다드,SMALL CENTER 후드 (STHSTD-0015),2.6만,4.8,(3천+),TOP,001004,M,success
4772160,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4772160,88990,99000,10010,10,아디다스,[무료반품] 배기 핏 후디 - 네이비:클리어스카이 / JP1071,3.1천,4.9,(14),TOP,001004,M,success
2722805,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2722805,80100,89000,8900,10,브라운브레스,TAG OG HOODIE - BURGUNDY,6.6만,4.8,(5천+),TOP,001004,M,success
3563633,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3563633,35500,89000,53500,60,예일,믹스 투톤아치 후드_네이비,6.9천,4.8,(628),TOP,001004,M,success
4435263,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4435263,46000,92000,46000,50,포즈간츠,POSEGANCH PSGC LOGO HOODIE [6COLOR],1.1만,4.7,(196),TOP,001004,M,success
4023114,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4023114,47400,79000,31600,40,디스커버리 익스페디션,경량 애슬레저 트레이닝 후드 반팔 (D/IVORY),119,4.6,(5),TOP,001004,M,success
2990499,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2990499,32900,66500,33600,51,1989스탠다드,AUTHENTIC 후드 (STHSTD-0007),2.3만,4.8,(2천+),TOP,001004,M,success
4587676,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4587676,30000,49800,19800,40,언탭트 스튜디오,유니버스 셀 시그니처 스웨트 오버핏 후드티셔츠 5Color,8.4천,4.5,(120),TOP,001004,M,success
4716470,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4716470,80100,89000,8900,10,브라운브레스,TAG HOODIE - ASH,728,4.9,(42),TOP,001004,M,success
3512311,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3512311,27900,63500,35600,56,브렌슨,코어드 루즈핏 후드티 ( 8Color ),2.7천,4.8,(351),TOP,001004,M,success
4844536,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4844536,80100,89000,8900,10,나이스고스트클럽,JUNJI ITO MANIAC TOMIE TORSO GLITTER HOODIE_WHITE(NG2FSUM409B),1.1천,4.7,(6),TOP,001004,M,success
2705820,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2705820,15900,47900,32000,67,무신사 스탠다드,플랫 테리 오버사이즈 후디드 스웨트셔츠 [블랙],1.4천,4.8,(341),TOP,001004,M,success
4780566,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4780566,271990,555000,283010,51,아미,레드 하트로고 후드 - 헤더 그레이 / BFUSW2357300951,579,4.0,(10),TOP,001004,M,success
2990516,"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2990516,36900,66500,29600,45,1989스탠다드,RV_OUR 1989 후드 (STHSTD-0004),10만,4.8,(1만+),TOP,001004,M,success
